;IPI_nace4 * RF0812 (frozen);IPI_nace4 * RF0893 (frozen);IPI_nace4 * RF0899 (frozen);IPI_nace4 * RF1011 (frozen);IPI_nace4 * RF1012 (frozen)
2020-06-01;20,640895;2,344093;0,984039;1,017543;-1,683885
2020-07-01;15,078722;5,297329;-0,272584;0,97691;-2,393972
2020-08-01;-24,280781;-40,972649;-18,955356;0,994629;0,191513
2020-09-01;7,271306;6,129051;5,423903;0,993871;1,92098
2020-10-01;13,879405;5,527323;11,874634;1,022767;5,49258
2020-11-01;1,265839;3,376233;1,211499;0,987546;1,285546
2020-12-01;-30,011265;-0,738245;-18,815944;1,009515;7,620072
2021-01-01;-20,367341;11,576381;2,916325;1,006878;0,111699
2021-02-01;-9,157604;4,192366;3,833262;0,923179;-9,591174
2021-03-01;14,327704;10,467589;10,264392;1,074106;1,533936
2021-04-01;8,250783;-5,000705;-0,478383;0,994843;-4,046498
2021-05-01;3,368814;0,452985;2,002351;1,000845;-0,794252
2021-06-01;20,781727;0,309746;0,793217;1,025518;-1,761412
2021-07-01;14,608675;4,843402;-0,413559;0,971203;-2,365263
2021-08-01;-24,08387;-42,103209;-17,752682;0,99468;0,293664
2021-09-01;7,012628;6,107025;6,006019;0,99181;1,926168
2021-10-01;14,006771;4,794226;10,939416;1,00898;6,046099
2021-11-01;0,979278;3,10945;-0,050962;0,985869;1,455377
2021-12-01;-30,122408;0,292122;-19,367233;1,01408;7,73548
2022-01-01;-20,17224;12,515342;2,94196;1,00792;0,22819
2022-02-01;-9,277055;4,732758;3,921733;0,927911;-9,777846
2022-03-01;14,848175;11,240798;11,425535;1,084878;0,922736
2022-04-01;8,446673;-6,031638;0,651682;0,993442;-4,441555
2022-05-01;3,163057;2,706802;0,798431;0,999195;-0,890655
2022-06-01;21,129022;-1,187123;1,616851;1,032484;-1,525966
2022-07-01;14,03951;4,535931;-0,425289;0,95891;-2,271651
2022-08-01;-24,037195;-43,907229;-17,386574;0,998417;0,391892
2022-09-01;7,142551;5,819397;6,451146;0,987421;2,003581
2022-10-01;13,708921;5,289368;9,481355;0,997969;6,315724
2022-11-01;0,703501;2,388545;-0,61553;0,987726;1,603427
2022-12-01;-30,02017;0,798168;-20,102042;1,013442;8,22879
2023-01-01;-20,162983;13,929858;3,047344;1,015223;0,089723
2023-02-01;-9,12134;5,201525;3,529228;0,93252;-9,885027
2023-03-01;15,326732;11,512495;12,229225;1,089848;0,489044
2023-04-01;8,469574;-6,97298;1,875524;0,993313;-5,059418
2023-05-01;2,989848;3,953941;0,35903;0,999982;-1,208043
2023-06-01;21,415917;-1,983532;1,915524;1,033703;-1,178068
