;RF0812 (frozen);RF0893 (frozen);RF0899 (frozen);RF1011 (frozen);RF1012 (frozen);RF1013 (frozen);RF1020 (frozen);RF1031 (frozen);RF1032 (frozen);RF1039 (frozen)
2022-09-01;92,04598;84,334949;92,544034;95,582981;91,003654;99,675277;98,505186;105,092632;113,528727;94,923114
2022-10-01;92,523376;91,173417;79,920883;94,437102;93,043962;99,317595;97,246576;113,460546;109,283959;97,757409
2022-11-01;93,345559;98,482854;93,023793;96,992974;96,480436;99,232267;101,301397;112,497365;107,978634;108,850263
2022-12-01;90,816289;98,607136;81,652779;93,222383;92,50715;97,135511;99,204976;100,429339;103,685374;98,819413
2023-01-01;85,394238;109,225511;85,266742;92,14216;88,947889;97,442746;90,832813;108,577543;100,860179;97,500337
2023-02-01;90,686655;78,568409;88,835018;93,328023;87,49564;98,487886;95,269245;113,594771;102,388116;94,262367
2023-03-01;90,857129;86,289124;85,285335;92,934176;88,090162;97,630533;93,935623;113,622083;101,748977;94,278372
2023-04-01;90,7439;86,815452;84,623909;91,504762;90,759359;95,474572;94,531517;115,671129;99,161993;101,339094
2023-05-01;91,877195;113,247032;87,113028;97,192126;96,912453;98,925649;101,376435;117,890149;99,47751;101,783782
2023-06-01;90,259008;74,912253;88,345616;93,180769;96,454443;96,882512;95,323082;116,136567;104,994094;101,205009
2023-07-01;91,359274;89,506921;91,813366;91,523802;96,444082;97,337172;93,258186;105,664069;99,727775;101,585096
2023-08-01;89,241062;78,485797;91,386648;93,022332;98,396127;97,758454;92,822826;111,711533;109,257111;101,869025
2023-09-01;86,500813;93,777596;91,272082;89,990541;96,047608;98,595363;97,147533;114,584075;100,369063;106,532655
2023-10-01;86,043686;92,784948;91,425932;91,58071;96,416384;98,977124;93,901832;111,212448;102,944647;101,58224
2023-11-01;77,780345;83,197612;86,466632;90,916476;95,804842;98,102127;90,39137;115,388992;102,582019;90,896856
2023-12-01;86,938244;71,145413;93,050481;91,254747;98,478978;100,366011;91,833123;114,238293;99,29115;104,51542
2024-01-01;79,290547;77,620701;91,247284;93,64907;99,958564;100,414186;91,77898;111,327748;100,179561;97,778742
2024-02-01;81,639114;89,844563;91,3939;91,956723;101,774625;99,587883;91,325679;112,153084;97,493569;104,672505
2024-03-01;79,259295;97,337197;97,33402;91,59594;101,700438;99,701131;93,677373;115,148031;98,085802;100,181679
2024-04-01;84,654015;88,318638;91,936281;91,859731;101,21086;99,938104;94,141229;117,272498;97,812796;98,421791
2024-05-01;81,120625;79,589218;96,447626;95,35223;100,62188;100,956691;93,718977;115,43491;95,517056;94,430586
2024-06-01;82,198793;97,430412;91,575534;89,483945;97,203122;98,889511;88,380242;116,25511;90,936136;83,680598
