;IPI_nace4 * RF1011 (frozen);IPI_nace4 * RF1051 (frozen);IPI_nace4 * RF1081 (frozen);IPI_nace4 * RF1086 (frozen);IPI_nace4 * RF1200 (frozen);IPI_nace4 * RF1391 (frozen);RF1039 (frozen);RF1041 (frozen);RF1042 (frozen);RF1051 (frozen);RF1052 (frozen)
1998-04-01;115,227419;98,654664;190,825121;63,887397;612,309926;615,719062;36,127605;49,969025;450,999689;99,213445;129,916803
1998-05-01;103,485039;96,20838;167,877023;54,760068;521,517569;514,891059;45,106729;50,121067;348,097739;96,752156;127,607697
1998-06-01;109,317334;92,214823;200,555872;60,413515;653,705155;621,612924;137,123424;42,416652;319,965751;92,736511;144,775005
1998-07-01;110,156256;88,49262;193,214502;68,356262;450,730341;545,453089;175,605514;25,359081;385,358414;88,99553;120,118898
1998-08-01;106,497997;81,034067;30,332787;44,748961;287,303975;75,424264;214,820173;49,557787;362,092692;81,499461;68,131795
1998-09-01;111,265444;87,608772;200,115535;50,540785;684,636163;564,811809;246,420809;49,05016;429,509977;88,112928;68,821403
1998-10-01;106,075472;93,176478;261,271977;52,023022;697,100898;586,375895;137,41258;52,301475;456,825;93,708084;51,333419
1998-11-01;105,490802;92,133321;171,024356;54,552836;510,59169;405,561636;89,813521;48,709117;393,776698;92,657192;50,97137
1998-12-01;113,576421;94,765711;164,390414;56,77589;464,118389;362,34931;57,259939;52,473232;438,816266;95,302426;45,266556
1999-01-01;104,714727;96,235521;236,216025;58,646299;595,228777;533,783654;56,637549;50,463131;427,982609;96,779801;62,674128
1999-02-01;98,860714;89,989013;207,738432;42,61396;580,147987;414,986268;47,576323;44,156719;347,955658;90,501046;69,457986
1999-03-01;121,660768;101,860147;249,48391;55,983496;606,462272;559,132537;44,973687;45,8377;394,238461;102,442037;104,263
1999-04-01;105,728653;98,327169;206,821663;56,336445;532,135676;598,794112;36,905511;44,849029;405,42729;98,883949;129,981172
1999-05-01;105,797469;95,828991;166,288919;56,021268;501,974096;451,265862;46,11621;53,799036;321,919361;96,371285;127,874335
1999-06-01;108,12799;91,932586;247,354407;56,236359;693,715414;553,827325;135,352919;40,242528;357,83027;92,453774;145,770472
1999-07-01;105,10547;86,910581;181,975052;57,286825;548,447551;473,199651;173,80544;23,411604;330,017964;87,404383;119,097084
1999-08-01;111,178612;82,920238;38,56927;56,859889;249,294383;69,898118;213,958589;50,532508;377,970215;83,395434;69,804896
1999-09-01;109,60732;86,937805;244,690724;52,118579;666,631547;551,112824;244,810568;50,343784;402,692236;87,438395;69,065993
1999-10-01;106,531136;90,784516;263,762412;51,743898;550,601949;565,317992;139,337449;56,75905;414,98222;91,30295;50,387929
1999-11-01;111,405464;94,222577;255,186645;54,806376;529,673506;398,950858;91,951505;48,482875;398,820536;94,757794;52,377779
1999-12-01;112,693552;95,278129;185,273977;54,416116;469,966043;323,055911;58,559032;46,784105;435,015606;95,817723;45,839645
2000-01-01;107,656687;94,320773;172,027749;59,676769;524,903052;506,257818;57,324808;55,136952;356,302902;94,853391;61,818471
2000-02-01;103,667449;92,87572;169,479564;50,587632;555,064632;422,010623;47,865517;50,815192;333,747583;93,40508;72,354511
2000-03-01;116,742342;102,467959;206,070923;60,940494;627,544601;564,17531;45,604248;52,732012;363,016217;103,052762;104,65274
2000-04-01;102,071286;94,56711;201,797481;51,152906;479,045294;507,53698;37,519683;51,874778;370,972739;95,103418;125,842282
2000-05-01;115,875066;99,769737;186,573334;62,236031;521,979225;476,611431;46,600473;51,940828;324,796526;100,33789;134,97784
2000-06-01;102,793695;90,630175;156,096181;54,033866;527,211336;470,983502;131,614172;51,586041;329,520681;91,145065;144,961276
2000-07-01;100,049454;85,209007;142,72001;55,530035;454,26971;412,647895;167,112443;25,217566;328,064354;85,693967;117,013288
2000-08-01;113,130007;86,234571;49,267314;50,750775;256,06535;102,729668;203,559914;45,967309;315,170555;86,730602;72,667154
2000-09-01;104,330212;86,084806;185,815376;51,066716;536,444473;535,214817;234,520019;50,748762;405,818042;86,581052;68,359435
2000-10-01;104,632799;92,432231;222,392298;54,750139;527,980764;586,828165;135,837977;55,474988;413,561442;92,962545;51,783419
2000-11-01;84,789358;94,365862;227,575291;56,989911;461,040677;408,351816;90,999697;52,842875;399,81513;94,904971;53,024289
2000-12-01;93,844935;93,176196;169,01757;46,873152;361,784611;296,813132;58,810574;54,777454;342,805231;93,705362;44,880684
2001-01-01;101,979414;99,205758;161,582358;62,887497;518,593742;508,522098;57,594867;54,220628;356,729144;99,769403;65,29578
2001-02-01;92,863167;89,549725;152,660103;52,542615;463,810618;391,305808;47,911526;50,958813;316,768964;90,061116;69,836263
2001-03-01;101,554053;101,511412;155,821873;60,813023;537,213901;552,780442;46,007437;55,101472;364,437024;102,092719;103,627955
2001-04-01;110,308338;96,589014;174,655338;60,745617;487,816774;505,505662;38,055673;53,109674;349,660627;97,13954;129,023678
2001-05-01;109,68096;101,614457;136,389251;77,669803;480,276379;445,338749;47,467327;54,13091;300,92696;102,195128;137,483426
2001-06-01;99,307494;92,496413;183,548719;53,261258;533,982303;482,339978;132,80173;54,606966;291,727232;93,021332;147,428176
2001-07-01;105,193564;86,979469;161,957728;60,418895;498,126956;391,610413;168,353211;38,6718;312,719662;87,476742;120,865031
2001-08-01;113,73687;88,084107;48,133985;56,664313;324,544293;97,116277;204,631874;44,789503;279,224127;88,59137;74,666384
2001-09-01;103,815466;84,573917;210,813578;54,92792;512,284432;444,796383;235,527494;48,948818;340,283298;85,062017;67,138063
2001-10-01;123,083493;98,10204;228,340468;63,564007;582,764042;466,021588;136,967872;52,737912;378,147816;98,665204;55,194426
2001-11-01;114,798906;97,222317;196,145275;60,183847;491,048217;296,656693;91,946583;49,073942;343,728756;97,776092;54,371177
2001-12-01;104,887404;92,947445;161,40911;56,486487;376,095973;236,439762;59,466146;55,388636;370,368896;93,473968;44,559832
2002-01-01;118,477561;103,274305;194,853137;74,195158;511,822775;429,407933;56,621359;55,918319;357,822205;103,861904;68,296746
2002-02-01;102,997582;91,407402;193,077348;59,660791;498,126956;344,690657;47,276749;53,884507;305,007764;91,929505;71,435442
2002-03-01;110,195113;99,738703;215,886126;69,672972;511,515004;443,741549;45,333248;58,842;331,15295;100,310333;102,082795
2002-04-01;111,907689;101,835609;158,680459;68,985003;456,885766;439,374088;37,045889;51,228879;305,706522;102,41494;135,58664
2002-05-01;112,826563;103,950916;138,771407;61,271032;397,332034;350,437437;46,581593;48,498045;253,823758;104,542735;139,757973
2002-06-01;98,270947;91,134521;199,877319;54,67861;591,535522;414,836556;132,069335;54,109912;247,913432;91,651147;144,931426
2002-07-01;112,088259;91,513227;151,046734;72,26565;645,703103;372,415642;168,110118;31,197668;202,960016;92,034798;125,925161
2002-08-01;110,055432;86,499559;86,077398;62,058884;303,923621;71,35426;205,212391;47,200957;174,252717;86,996361;72,655124
2002-09-01;108,272891;86,232832;195,618314;56,355545;588,150038;404,297474;236,846945;51,687818;185,258152;86,729669;68,573401
2002-10-01;118,693393;97,274109;228,993034;63,088;631,237856;467,898174;137,918271;57,482985;193,235637;97,831531;54,581047
2002-11-01;103,989179;94,212988;209,004584;56,874378;506,282893;288,574874;92,02399;56,054237;203,862578;94,750012;52,767606
