;IPI_nace4 * RF1011 (frozen);IPI_nace4 * RF1051 (frozen);IPI_nace4 * RF1081 (frozen);IPI_nace4 * RF1086 (frozen);IPI_nace4 * RF1200 (frozen);IPI_nace4 * RF1391 (frozen);RF1039 (frozen);RF1041 (frozen);RF1042 (frozen);RF1051 (frozen);RF1052 (frozen)
2003-10-01;1,077844;1,029087;46,498493;-0,402175;1,214069;1,307526;1,318714;1,100033;1,193154;2,731416;0,61008
2003-11-01;0,922635;0,980376;20,521182;-8,947156;0,991026;0,834;0,864292;1,042307;1,035395;-1,855823;0,578686
2003-12-01;1,053481;1,033171;-6,234159;1,062708;0,827843;0,736767;0,562977;1,086113;1,174959;3,131143;0,522843
2004-01-01;0,998216;1,06144;20,212611;4,160775;1,072658;1,141392;0,542785;1,04573;0,982011;5,734861;0,739798
2004-02-01;0,927325;0,975742;-7,666019;-9,359513;1,023218;0,96785;0,470552;0,996087;0,95215;-2,257261;0,797772
2004-03-01;1,107192;1,08446;33,291976;7,115133;1,123917;1,233091;0,45962;1,106081;1,095513;7,834692;1,177669
2004-04-01;1,030274;1,067579;-6,633284;3,807166;1,033754;1,239802;0,38698;1,055271;0,961856;6,353255;1,504914
2004-05-01;0,949989;1,033887;-28,047225;2,903961;0,850182;0,920932;0,460194;1,090283;0,847389;3,362626;1,474622
2004-06-01;1,008391;0,991339;26,831149;1,561897;1,169483;1,183623;1,266811;0,999542;0,98395;-0,781335;1,680434
2004-07-01;0,946492;0,932814;-11,323136;3,089965;0,921719;1,011289;1,571884;0,652857;0,759681;-6,547817;1,351386
2004-08-01;1,013632;0,90516;-105,93142;0,941909;0,669118;0,249555;1,905046;0,874893;1,009909;-9,093761;0,805221
2004-09-01;1,026253;0,939699;26,32909;-2,336915;1,17437;1,241723;2,196452;0,938931;1,065488;-5,456112;0,797029
2004-10-01;0,986276;0,987854;38,728102;-5,430147;1,14814;1,235165;1,298153;1,102021;1,145706;-1,134937;0,581463
2004-11-01;1,020342;1,025711;23,588968;-2,664481;1,034021;0,904772;0,882004;1,0467;1,095929;2,360577;0,614516
2004-12-01;1,035265;1,033427;-3,574744;-0,919582;0,835505;0,758512;0,571975;1,088445;1,134234;3,148687;0,515252
2005-01-01;0,967125;1,034519;16,626406;0,49838;1,041877;1,106966;0,535261;1,046291;0,956959;3,401636;0,723182
2005-02-01;0,921511;0,962673;-12,480873;-9,371719;0,991675;0,911053;0,464683;0,999815;0,933626;-3,600936;0,793241
2005-03-01;1,109717;1,086918;29,185811;7,390561;1,14574;1,214727;0,47627;1,104892;1,076987;8,131479;1,178902
2005-04-01;0,979581;1,049185;-10,231115;1,750533;0,990126;1,183398;0,391041;1,057931;0,948822;4,747969;1,472586
2005-05-01;0,998478;1,054593;-19,98527;6,710078;0,884795;0,972253;0,483614;1,088722;0,903253;5,222164;1,498733
2005-06-01;0,999086;0,980805;23,742023;0,952723;1,171899;1,17005;1,271136;0,99936;0,982634;-1,851486;1,674275
2005-07-01;0,911767;0,910846;-6,939078;-0,660411;0,882664;1,0019;1,548927;0,671841;0,729948;-8,708388;1,305972
2005-08-01;1,064573;0,927557;-94,911192;4,197569;0,69635;0,279718;1,897381;0,858479;1,073046;-6,804972;0,833684
2005-09-01;1,01837;0,941634;24,205611;-1,592529;1,176215;1,250249;2,15304;0,925947;1,052078;-5,371296;0,795066
2005-10-01;0,992775;0,98276;32,777023;-5,010678;1,144834;1,220212;1,308965;1,09911;1,136099;-1,661109;0,586439
2005-11-01;1,019736;1,028143;23,455045;-4,132147;1,049679;0,916122;0,881923;1,050454;1,093783;2,724084;0,6156
2005-12-01;0,988208;1,018627;-7,971065;-2,456681;0,817052;0,721032;0,564643;1,092535;1,082627;1,669278;0,501303
2006-01-01;1,01402;1,060209;17,858077;4,102557;1,066063;1,168314;0,548042;1,055437;0,992726;5,749594;0,743429
2006-02-01;0,919292;0,966232;-13,082775;-9,96455;0,990682;0,88837;0,478212;1,004567;0,930658;-3,234114;0,798804
2006-03-01;1,079274;1,083471;25,802283;4,805686;1,105189;1,190699;0,492983;1,101138;1,058831;7,924944;1,174779
2006-04-01;0,959829;1,021294;-10,657665;-0,317346;0,989426;1,152099;0,403442;1,055812;0,91877;2,218868;1,429443
2006-05-01;1,04873;1,076525;-14,780744;9,087216;0,903494;0,99236;0,502015;1,080356;0,96319;7,212528;1,535153
2006-06-01;0,991442;0,978307;23,623764;1,06466;1,148533;1,188603;1,272333;1,002535;1,002879;-2,178117;1,662993
2006-07-01;0,91943;0,908922;-5,318512;-0,095247;0,875745;0,998765;1,518313;0,690146;0,720068;-8,980969;1,320899
2006-08-01;1,053517;0,930393;-89,418388;5,988901;0,73839;0,31353;1,887545;0,841267;1,062907;-6,567653;0,835024
2006-09-01;0,981194;0,926205;19,860364;-4,081604;1,148682;1,196445;2,061061;0,923904;1,038523;-6,961756;0,777518
2006-10-01;1,042318;1,003843;35,335738;-2,029756;1,173801;1,283965;1,361825;1,087;1,161229;0,361096;0,596168
2006-11-01;1,008823;1,020973;17,001015;-5,016253;1,066195;0,901048;0,882827;1,055434;1,047612;2,024546;0,615249
2006-12-01;0,954279;0,994588;-6,206918;-6,689376;0,787142;0,692732;0,560532;1,093037;1,063257;-0,462947;0,476601
2007-01-01;1,061861;1,087812;14,648884;6,713737;1,068309;1,186101;0,557179;1,075653;1,039167;8,25329;0,777521
2007-02-01;0,917036;0,969838;-11,81417;-9,838981;0,991133;0,869192;0,49355;1,006836;0,93339;-2,86596;0,813094
2007-03-01;1,037208;1,069605;15,800966;3,587132;1,070392;1,13572;0,501208;1,100848;1,014267;6,617474;1,164859
