;IPI_nace4 * RF1011 (frozen);IPI_nace4 * RF1051 (frozen);IPI_nace4 * RF1081 (frozen);IPI_nace4 * RF1086 (frozen);IPI_nace4 * RF1200 (frozen);IPI_nace4 * RF1391 (frozen);RF1039 (frozen);RF1041 (frozen);RF1042 (frozen);RF1051 (frozen);RF1052 (frozen)
2004-08-01;106,105666;94,176053;171,426273;73,060103;379,241194;259,315628;104,863058;55,95453;186,928865;94,830796;90,401113
2004-09-01;104,247299;96,470697;145,612034;76,780689;340,956938;321,534711;104,910554;55,846269;185,020483;96,633187;90,809868
2004-10-01;106,571887;94,764907;139,543781;80,06961;281,597328;314,125739;105,369134;56,684149;195,673967;95,286657;90,855945
2004-11-01;103,545501;95,42374;150,120726;74,689626;270,112331;312,760357;104,509909;54,142205;173,877132;96,077994;90,178976
2004-12-01;105,183425;95,913938;139,906246;90,515302;346,999787;318,632669;102,818453;55,936663;191,364087;96,535727;93,367121
2005-01-01;108,735015;96,223689;143,94534;83,243131;291,855514;296,370632;101,463502;54,500808;166,908306;96,709153;90,817451
2005-02-01;103,806173;96,259271;130,448122;73,3409;310,664855;274,785292;98,791188;57,561641;191,755083;96,796593;90,677682
2005-03-01;103,413992;95,080582;101,8472;79,84993;262,577853;272,718077;94,623147;54,366338;190,15486;95,80667;89,914043
2005-04-01;106,486833;95,144464;136,030603;75,834007;328,402616;266,847863;96,844352;56,724298;188,929553;95,645756;90,5875
2005-05-01;106,755094;96,0033;142,543582;80,725704;353,931273;257,522019;94,942812;58,361848;191,208539;96,600226;91,17774
2005-06-01;104,617645;95,588373;132,534625;79,690783;333,140519;248,034075;98,103331;55,892415;181,361961;96,140641;90,316358
2005-07-01;104,108926;93,041761;105,639735;82,31578;321,486478;267,871944;100,1546;59,496166;188,183563;93,938885;89,726237
2005-08-01;103,651594;96,11204;126,059687;83,778982;343,416277;244,084999;98,551054;57,506833;188,275575;96,468248;90,3616
2005-09-01;105,180678;95,349082;131,5152;82,524582;348,14119;255,443862;101,095232;60,26846;198,614271;95,673991;90,317244
2005-10-01;104,776209;95,239669;127,022328;79,100411;310,638324;259,806721;97,647373;60,936401;188,717919;95,796895;89,959017
2005-11-01;105,516694;94,769735;114,962648;75,985415;367,825084;252,924668;98,945393;60,318702;188,272889;95,272159;89,937062
2005-12-01;108,073663;94,477431;138,361616;81,839471;363,31213;297,631076;102,35657;60,313389;189,728969;95,117875;93,56927
2006-01-01;103,896186;94,170404;137,718361;76,429882;360,584395;254,348308;83,336826;61,951052;186,058388;94,660102;89,538788
2006-02-01;104,50398;94,19285;118,236908;80,420996;326,664797;240,182281;81,413395;58,665921;185,202505;94,76916;89,582316
2006-03-01;106,065858;94,840652;124,035326;83,520168;331,249457;234,586491;96,442575;61,287753;205,376745;95,424936;90,629712
2006-04-01;103,536301;92,603753;124,871214;86,65373;317,125444;241,641078;96,218438;62,923906;198,499966;92,898584;89,027738
2006-05-01;103,011081;94,519365;130,142059;93,667516;348,30966;241,629773;101,723231;63,627166;192,459018;95,122286;90,269205
2006-06-01;103,257518;94,345402;123,09538;87,866129;289,942102;230,496789;83,030381;62,170172;184,174727;95,006181;90,169768
2006-07-01;100,852871;92,056631;141,505641;87,412887;294,154475;223,46147;119,123677;70,740788;174,915484;93,133382;88,987697
2006-08-01;103,267748;94,791145;145,103084;80,685729;286,767518;240,947891;99,918808;47,010654;211,300106;95,271392;90,327235
2006-09-01;103,182721;95,339142;126,447317;90,90646;301,023688;226,539667;97,712;59,40183;198,066751;95,777226;90,788104
2006-10-01;101,923073;95,930928;120,493354;89,495728;302,054565;230,537585;104,330027;65,261202;214,119118;96,494076;91,346093
2006-11-01;103,920924;95,965008;133,493492;90,815852;291,982483;241,672223;107,018436;65,352471;205,019256;96,516289;90,963557
2006-12-01;104,763179;95,005441;141,080253;87,397621;301,850322;233,176978;104,302547;66,541255;181,19166;95,493638;96,546504
2007-01-01;103,051634;94,769428;127,869004;87,939172;323,526714;214,855167;102,512676;65,453927;208,310485;95,428095;88,857338
2007-02-01;105,675289;94,39379;145,171587;90,463953;329,000473;224,269784;104,005245;70,550568;212,921011;94,938848;88,466681
2007-03-01;105,96209;94,488246;145,622581;94,606231;313,121148;228,109175;101,053991;67,260279;210,668659;95,02949;89,443658
2007-04-01;105,727212;95,203368;136,178044;94,432524;291,35802;222,611922;100,762533;68,61416;203,841999;95,612069;90,923654
2007-05-01;104,458776;92,790479;121,194113;95,73293;300,015395;224,466706;105,730399;67,0441;221,074773;93,296961;89,446987
2007-06-01;106,076428;94,580548;159,810394;94,198056;317,618476;223,717116;87,676346;71,437161;225,36649;95,223152;91,264648
2007-07-01;106,551908;96,803193;134,41648;92,759187;357,801631;207,586518;86,289877;80,087654;198,322334;97,417793;93,968722
2007-08-01;104,899412;97,116137;136,936506;94,522868;349,033885;198,585968;96,908728;56,530406;222,235405;97,398026;92,280132
